St,City,FIPS_city,Time,OWS_protest,15,30,45,60,100
DE,Wilmington,1077580,15,0,0,0,0,0,0
DE,Wilmington,1077580,16,0,0,0,0,0,0
DE,Wilmington,1077580,17,0,0,0,0,0,1
DE,Wilmington,1077580,18,0,0,0,0,0,1
DE,Wilmington,1077580,19,0,0,0,0,0,1
DE,Wilmington,1077580,20,1,0,0,0,0,2
DE,Wilmington,1077580,21,1,0,0,0,0,2
DE,Wilmington,1077580,22,1,0,1,1,1,3
DE,Wilmington,1077580,23,1,0,1,1,1,3
DE,Wilmington,1077580,24,1,0,1,1,1,3
DE,Wilmington,1077580,25,1,0,1,1,1,3
DE,Wilmington,1077580,26,1,0,1,1,1,3
DE,Wilmington,1077580,27,1,0,1,1,1,3
DE,Wilmington,1077580,28,1,0,1,1,1,3
DE,Wilmington,1077580,29,1,0,1,1,1,3
DE,Wilmington,1077580,30,1,0,1,1,1,3
DE,Wilmington,1077580,31,1,0,1,1,2,7
DE,Wilmington,1077580,32,1,0,1,1,2,7
DE,Wilmington,1077580,33,1,0,1,1,2,7
DE,Wilmington,1077580,34,1,0,1,1,2,7
DE,Wilmington,1077580,35,1,0,1,1,2,7
DE,Wilmington,1077580,36,1,0,1,1,2,7
DE,Wilmington,1077580,37,1,0,1,1,2,7
DE,Wilmington,1077580,38,1,0,1,1,2,7
DE,Wilmington,1077580,39,1,0,1,1,2,7
DE,Wilmington,1077580,40,1,0,1,1,2,7
DE,Wilmington,1077580,41,1,0,1,1,2,7
DE,Wilmington,1077580,42,1,0,1,1,2,7
DE,Wilmington,1077580,43,1,0,1,1,2,7
DE,Wilmington,1077580,44,1,0,1,1,2,7
DE,Wilmington,1077580,45,1,0,1,1,2,7
DE,Wilmington,1077580,46,1,0,1,1,2,7
DE,Wilmington,1077580,47,1,0,1,1,2,7
DE,Wilmington,1077580,48,1,0,1,1,2,7
DE,Wilmington,1077580,49,1,0,1,1,2,7
DE,Wilmington,1077580,50,1,0,1,1,2,7
DE,Wilmington,1077580,51,1,0,1,1,2,7
DE,Wilmington,1077580,52,1,0,1,1,2,7
DE,Wilmington,1077580,53,1,0,1,1,2,7
DE,Wilmington,1077580,54,1,0,1,1,2,7
DE,Wilmington,1077580,55,1,0,1,1,2,7
DE,Wilmington,1077580,56,1,0,1,1,2,7
DE,Wilmington,1077580,57,1,0,1,1,2,7
DE,Wilmington,1077580,58,1,0,1,1,2,7
DE,Wilmington,1077580,59,1,0,1,1,2,7
DE,Wilmington,1077580,60,1,0,1,1,2,7
DE,Wilmington,1077580,61,1,0,1,1,2,7
DE,Wilmington,1077580,62,1,0,1,1,2,7
DE,Wilmington,1077580,63,1,0,1,1,2,7
DE,Wilmington,1077580,64,1,0,1,1,2,7
DE,Wilmington,1077580,65,1,0,1,1,2,8
DE,Wilmington,1077580,66,1,0,1,1,2,8
DE,Wilmington,1077580,67,1,0,1,1,2,8
DE,Wilmington,1077580,68,1,0,1,1,2,8
DE,Wilmington,1077580,69,1,0,1,1,2,8
DE,Wilmington,1077580,70,1,0,1,1,2,8
DE,Wilmington,1077580,71,1,0,1,1,2,8
DE,Wilmington,1077580,72,1,0,1,1,2,8
DE,Wilmington,1077580,73,1,0,1,1,2,8
DE,Wilmington,1077580,74,1,0,1,1,2,8
DE,Wilmington,1077580,75,1,0,1,1,2,8
DE,Wilmington,1077580,76,1,0,1,1,2,8
DE,Wilmington,1077580,77,1,0,1,1,2,8
DC,Washington,1150000,1,0,0,0,0,0,0
DC,Washington,1150000,2,0,0,0,0,0,0
DC,Washington,1150000,3,0,0,0,0,0,0
DC,Washington,1150000,4,0,0,0,0,0,0
DC,Washington,1150000,5,0,0,0,0,0,0
DC,Washington,1150000,6,0,0,0,0,0,0
DC,Washington,1150000,7,0,0,0,0,0,0
DC,Washington,1150000,8,0,0,0,0,0,0
DC,Washington,1150000,9,0,0,0,0,0,0
DC,Washington,1150000,10,0,0,0,0,0,0
DC,Washington,1150000,11,0,0,0,0,0,0
DC,Washington,1150000,12,0,0,0,0,0,0
DC,Washington,1150000,13,0,0,0,0,0,0
DC,Washington,1150000,14,0,0,0,0,0,0
DC,Washington,1150000,15,0,0,0,0,0,0
DC,Washington,1150000,16,0,0,0,0,0,0
DC,Washington,1150000,17,1,0,0,0,0,0
DC,Washington,1150000,18,1,0,0,0,0,0
DC,Washington,1150000,19,1,0,0,0,0,0
DC,Washington,1150000,20,1,0,0,1,1,2
DC,Washington,1150000,21,1,0,0,1,1,2
DC,Washington,1150000,22,1,0,0,1,1,2
DC,Washington,1150000,23,1,0,0,1,1,3
DC,Washington,1150000,24,1,0,0,1,1,3
DC,Washington,1150000,25,1,0,0,1,1,3
DC,Washington,1150000,26,1,0,0,1,1,3
